Algorithm,Domain,Num. Of Traces,Threshold,Epsilon,Fold,Unobserved_actions,precision_effect,precision_precondition,recall_effect,recall_precondition
sam_without,rover,10,0.1,0.8,0,6,1.0,0.11,0.19,1.0
rosame,rover,10,0.1,0.8,0,0,0.52,0.28,0.3,0.56
sam_with,rover,100,0.1,0.8,1,8,1.0,0.04,0.11,1.0
sam_without,rover,10,0.1,0.8,1,8,1.0,0.04,0.11,1.0
rosame,rover,10,0.1,0.8,1,0,0.42,0.21,0.41,0.5
sam_with,rover,100,0.1,0.8,2,6,1.0,0.09,0.14,0.92
sam_without,rover,10,0.1,0.8,2,6,1.0,0.09,0.14,0.92
rosame,rover,10,0.1,0.8,2,0,0.26,0.21,0.19,0.56
sam_with,rover,100,0.1,0.8,3,6,1.0,0.12,0.19,0.96
sam_without,rover,10,0.1,0.8,3,6,1.0,0.12,0.19,0.96
rosame,rover,10,0.1,0.8,3,0,0.36,0.24,0.33,0.53
sam_with,rover,100,0.1,0.8,4,7,1.0,0.06,0.11,0.94
sam_without,rover,10,0.1,0.8,4,7,1.0,0.06,0.11,0.94
rosame,rover,10,0.1,0.8,4,0,0.47,0.25,0.4,0.64
sam_with,rover,100,0.1,1.0,0,6,1.0,0.09,0.19,0.96
sam_without,rover,10,0.1,1.0,0,6,1.0,0.09,0.19,0.96
rosame,rover,10,0.1,1.0,0,0,0.35,0.23,0.33,0.41
sam_with,rover,100,0.1,1.0,1,8,1.0,0.04,0.11,1.0
sam_without,rover,10,0.1,1.0,1,8,1.0,0.04,0.11,1.0
rosame,rover,10,0.1,1.0,1,0,0.19,0.18,0.29,0.43
sam_with,rover,100,0.1,1.0,2,7,0.89,0.07,0.06,0.96
sam_without,rover,10,0.1,1.0,2,7,0.89,0.07,0.06,0.96
rosame,rover,10,0.1,1.0,2,0,0.2,0.21,0.18,0.61
sam_with,rover,100,0.1,1.0,3,7,1.0,0.07,0.14,0.96
sam_without,rover,10,0.1,1.0,3,7,1.0,0.07,0.14,0.96
rosame,rover,10,0.1,1.0,3,0,0.25,0.24,0.3,0.58
sam_with,rover,100,0.1,1.0,4,8,1.0,0.04,0.06,0.98
sam_without,rover,10,0.1,1.0,4,8,1.0,0.04,0.06,0.98
rosame,rover,10,0.1,1.0,4,0,0.29,0.17,0.24,0.48
sam_with,rover,100,0.2,0.2,0,4,1.0,0.29,0.47,0.98
sam_without,rover,10,0.2,0.2,0,4,1.0,0.29,0.47,0.98
rosame,rover,10,0.2,0.2,0,0,0.57,0.37,0.52,0.79
sam_with,rover,100,0.2,0.2,1,5,1.0,0.21,0.44,0.94
sam_without,rover,10,0.2,0.2,1,5,1.0,0.21,0.44,0.94
rosame,rover,10,0.2,0.2,1,0,0.46,0.36,0.53,0.83
sam_with,rover,100,0.2,0.2,2,5,1.0,0.2,0.44,0.92
sam_without,rover,10,0.2,0.2,2,5,1.0,0.2,0.44,0.92
rosame,rover,10,0.2,0.2,2,0,0.49,0.35,0.52,0.9
sam_with,rover,100,0.2,0.2,3,5,1.0,0.23,0.44,0.96
sam_without,rover,10,0.2,0.2,3,5,1.0,0.23,0.44,0.96
rosame,rover,10,0.2,0.2,3,0,0.47,0.39,0.56,0.73
sam_with,rover,100,0.2,0.2,4,5,1.0,0.2,0.36,0.94
sam_without,rover,10,0.2,0.2,4,5,1.0,0.2,0.36,0.94
rosame,rover,10,0.2,0.2,4,0,0.45,0.31,0.42,0.76
sam_with,rover,100,0.2,0.4,0,4,1.0,0.19,0.27,0.98
sam_without,rover,10,0.2,0.4,0,4,1.0,0.19,0.27,0.98
rosame,rover,10,0.2,0.4,0,0,0.57,0.37,0.52,0.84
sam_with,rover,100,0.2,0.4,1,6,1.0,0.16,0.22,1.0
sam_without,rover,10,0.2,0.4,1,6,1.0,0.16,0.28,1.0
rosame,rover,10,0.2,0.4,1,0,0.48,0.29,0.61,0.64
sam_with,rover,100,0.2,0.4,2,5,1.0,0.13,0.19,0.92
sam_without,rover,10,0.2,0.4,2,5,1.0,0.13,0.25,0.92
rosame,rover,10,0.2,0.4,2,0,0.46,0.31,0.47,0.63
sam_with,rover,100,0.2,0.4,3,5,1.0,0.15,0.28,0.96
sam_without,rover,10,0.2,0.4,3,5,1.0,0.15,0.28,0.96
rosame,rover,10,0.2,0.4,3,0,0.39,0.4,0.5,0.74
sam_with,rover,100,0.2,0.4,4,5,1.0,0.13,0.24,0.94
sam_without,rover,10,0.2,0.4,4,5,1.0,0.13,0.24,0.94
rosame,rover,10,0.2,0.4,4,0,0.48,0.28,0.52,0.68
sam_with,rover,100,0.2,0.6,0,5,1.0,0.13,0.24,1.0
sam_without,rover,10,0.2,0.6,0,5,1.0,0.13,0.24,1.0
rosame,rover,10,0.2,0.6,0,0,0.56,0.35,0.38,0.83
sam_with,rover,100,0.2,0.6,1,6,1.0,0.12,0.22,1.0
sam_without,rover,10,0.2,0.6,1,6,1.0,0.12,0.28,1.0
rosame,rover,10,0.2,0.6,1,0,0.45,0.22,0.4,0.49
sam_with,rover,100,0.2,0.6,2,6,1.0,0.09,0.14,0.92
sam_without,rover,10,0.2,0.6,2,6,1.0,0.09,0.14,0.92
rosame,rover,10,0.2,0.6,2,0,0.47,0.3,0.52,0.67
sam_with,rover,100,0.2,0.6,3,6,1.0,0.12,0.19,0.96
sam_without,rover,10,0.2,0.6,3,6,1.0,0.12,0.19,0.96
rosame,rover,10,0.2,0.6,3,0,0.43,0.34,0.44,0.72
sam_with,rover,100,0.2,0.6,4,6,1.0,0.09,0.19,0.94
sam_without,rover,10,0.2,0.6,4,6,1.0,0.09,0.19,0.94
rosame,rover,10,0.2,0.6,4,0,0.44,0.34,0.36,0.77
sam_with,rover,100,0.2,0.8,0,5,1.0,0.13,0.24,1.0
sam_without,rover,10,0.2,0.8,0,5,1.0,0.13,0.24,1.0
rosame,rover,10,0.2,0.8,0,0,0.57,0.3,0.51,0.67
sam_with,rover,100,0.2,0.8,1,6,1.0,0.1,0.22,1.0
sam_without,rover,10,0.2,0.8,1,6,1.0,0.1,0.28,1.0
rosame,rover,10,0.2,0.8,1,0,0.42,0.2,0.48,0.39
sam_with,rover,100,0.2,0.8,2,6,1.0,0.09,0.14,0.92
sam_without,rover,10,0.2,0.8,2,6,1.0,0.09,0.14,0.92
rosame,rover,10,0.2,0.8,2,0,0.28,0.27,0.14,0.51
sam_with,rover,100,0.2,0.8,3,6,1.0,0.12,0.19,0.96
sam_without,rover,10,0.2,0.8,3,6,1.0,0.12,0.19,0.96
rosame,rover,10,0.2,0.8,3,0,0.43,0.24,0.4,0.5
sam_with,rover,100,0.2,0.8,4,6,1.0,0.09,0.13,0.94
sam_without,rover,10,0.2,0.8,4,6,1.0,0.09,0.13,0.94
rosame,rover,10,0.2,0.8,4,0,0.47,0.3,0.5,0.7
sam_with,rover,100,0.2,1.0,0,5,0.89,0.13,0.19,0.94
sam_without,rover,10,0.2,1.0,0,5,0.89,0.13,0.19,0.94
rosame,rover,10,0.2,1.0,0,0,0.4,0.16,0.3,0.34
sam_with,rover,100,0.2,1.0,1,7,1.0,0.07,0.17,0.94
sam_without,rover,10,0.2,1.0,1,7,1.0,0.07,0.17,0.94
rosame,rover,10,0.2,1.0,1,0,0.24,0.2,0.3,0.39
sam_with,rover,100,0.2,1.0,2,6,0.94,0.09,0.14,0.88
sam_without,rover,10,0.2,1.0,2,6,0.94,0.09,0.14,0.88
rosame,rover,10,0.2,1.0,2,0,0.2,0.15,0.31,0.38
sam_with,rover,100,0.2,1.0,3,6,1.0,0.13,0.19,0.93
sam_without,rover,10,0.2,1.0,3,6,1.0,0.13,0.19,0.93
rosame,rover,10,0.2,1.0,3,0,0.23,0.2,0.37,0.47
sam_with,rover,100,0.2,1.0,4,7,1.0,0.06,0.11,0.93
sam_without,rover,10,0.2,1.0,4,7,1.0,0.06,0.11,0.93
rosame,rover,10,0.2,1.0,4,0,0.29,0.21,0.26,0.37
sam_with,rover,100,0.3,0.2,0,4,1.0,0.29,0.47,0.98
sam_without,rover,10,0.3,0.2,0,4,1.0,0.29,0.47,0.98
rosame,rover,10,0.3,0.2,0,0,0.56,0.35,0.47,0.73
sam_with,rover,100,0.3,0.2,1,5,1.0,0.21,0.44,0.94
sam_without,rover,10,0.3,0.2,1,5,1.0,0.21,0.44,0.94
rosame,rover,10,0.3,0.2,1,0,0.48,0.33,0.6,0.79
sam_with,rover,100,0.3,0.2,2,5,1.0,0.2,0.44,0.92
sam_without,rover,10,0.3,0.2,2,5,1.0,0.2,0.44,0.92
rosame,rover,10,0.3,0.2,2,0,0.46,0.28,0.5,0.63
sam_with,rover,100,0.3,0.2,3,5,1.0,0.23,0.44,0.96
sam_without,rover,10,0.3,0.2,3,5,1.0,0.23,0.44,0.96
rosame,rover,10,0.3,0.2,3,0,0.44,0.37,0.44,0.88
sam_with,rover,100,0.3,0.2,4,5,1.0,0.2,0.36,0.94
sam_without,rover,10,0.3,0.2,4,5,1.0,0.2,0.36,0.94
rosame,rover,10,0.3,0.2,4,0,0.37,0.3,0.43,0.63
sam_with,rover,100,0.3,0.4,0,4,1.0,0.25,0.38,0.98
sam_without,rover,10,0.3,0.4,0,4,1.0,0.25,0.44,0.98
rosame,rover,10,0.3,0.4,0,0,0.61,0.4,0.59,0.79
sam_with,rover,100,0.3,0.4,1,5,1.0,0.19,0.39,0.94
sam_without,rover,10,0.3,0.4,1,5,1.0,0.19,0.44,0.94
rosame,rover,10,0.3,0.4,1,0,0.56,0.32,0.52,0.77
sam_with,rover,100,0.3,0.4,2,5,1.0,0.15,0.42,0.92
sam_without,rover,10,0.3,0.4,2,5,1.0,0.15,0.42,0.92
rosame,rover,10,0.3,0.4,2,0,0.47,0.3,0.57,0.7
sam_with,rover,100,0.3,0.4,3,5,1.0,0.18,0.44,0.96
sam_without,rover,10,0.3,0.4,3,5,1.0,0.18,0.44,0.96
rosame,rover,10,0.3,0.4,3,0,0.47,0.35,0.5,0.81
sam_with,rover,100,0.3,0.4,4,5,1.0,0.17,0.36,0.94
sam_without,rover,10,0.3,0.4,4,5,1.0,0.17,0.36,0.94
rosame,rover,10,0.3,0.4,4,0,0.37,0.31,0.48,0.75
sam_with,rover,100,0.3,0.6,0,4,1.0,0.19,0.27,0.98
sam_without,rover,10,0.3,0.6,0,4,1.0,0.19,0.27,0.98
rosame,rover,10,0.3,0.6,0,0,0.58,0.33,0.48,0.59
sam_with,rover,100,0.3,0.6,1,6,1.0,0.16,0.22,1.0
sam_without,rover,10,0.3,0.6,1,6,1.0,0.16,0.28,1.0
rosame,rover,10,0.3,0.6,1,0,0.45,0.26,0.38,0.64
sam_with,rover,100,0.3,0.6,2,5,1.0,0.13,0.19,0.92
sam_without,rover,10,0.3,0.6,2,5,1.0,0.13,0.25,0.92
rosame,rover,10,0.3,0.6,2,0,0.42,0.32,0.47,0.8
sam_with,rover,100,0.3,0.6,3,5,1.0,0.15,0.28,0.96
sam_without,rover,10,0.3,0.6,3,5,1.0,0.15,0.28,0.96
rosame,rover,10,0.3,0.6,3,0,0.43,0.37,0.44,0.83
sam_with,rover,100,0.3,0.6,4,5,1.0,0.13,0.24,0.94
sam_without,rover,10,0.3,0.6,4,5,1.0,0.13,0.24,0.94
rosame,rover,10,0.3,0.6,4,0,0.48,0.31,0.51,0.59
sam_with,rover,100,0.3,0.8,0,5,1.0,0.12,0.24,0.93
sam_without,rover,10,0.3,0.8,0,5,1.0,0.12,0.24,0.93
rosame,rover,10,0.3,0.8,0,0,0.47,0.23,0.32,0.43
sam_with,rover,100,0.3,0.8,1,6,1.0,0.11,0.22,0.91
sam_without,rover,10,0.3,0.8,1,6,1.0,0.11,0.28,0.91
rosame,rover,10,0.3,0.8,1,0,0.4,0.24,0.4,0.59
sam_with,rover,100,0.3,0.8,2,6,0.94,0.09,0.14,0.88
sam_without,rover,10,0.3,0.8,2,6,0.94,0.09,0.14,0.88
rosame,rover,10,0.3,0.8,2,0,0.3,0.27,0.24,0.47
sam_with,rover,100,0.3,0.8,3,6,1.0,0.13,0.19,0.93
sam_without,rover,10,0.3,0.8,3,6,1.0,0.13,0.19,0.93
rosame,rover,10,0.3,0.8,3,0,0.46,0.27,0.4,0.55
sam_with,rover,100,0.3,0.8,4,6,1.0,0.1,0.19,0.93
sam_without,rover,10,0.3,0.8,4,6,1.0,0.1,0.19,0.93
rosame,rover,10,0.3,0.8,4,0,0.49,0.23,0.44,0.49
sam_with,rover,100,0.3,1.0,0,4,0.67,0.14,0.08,0.83
sam_without,rover,10,0.3,1.0,0,4,0.78,0.15,0.24,0.85
rosame,rover,10,0.3,1.0,0,0,0.34,0.18,0.31,0.41
sam_with,rover,100,0.3,1.0,1,6,0.83,0.09,0.11,0.88
sam_without,rover,10,0.3,1.0,1,6,0.89,0.08,0.28,0.88
rosame,rover,10,0.3,1.0,1,0,0.33,0.17,0.47,0.35
sam_with,rover,100,0.3,1.0,2,6,0.94,0.09,0.14,0.86
sam_without,rover,10,0.3,1.0,2,6,0.94,0.09,0.14,0.86
rosame,rover,10,0.3,1.0,2,0,0.21,0.3,0.29,0.45
sam_with,rover,100,0.3,1.0,3,6,1.0,0.12,0.19,0.91
sam_without,rover,10,0.3,1.0,3,6,1.0,0.12,0.19,0.91
rosame,rover,10,0.3,1.0,3,0,0.24,0.2,0.34,0.45
sam_with,rover,100,0.3,1.0,4,5,0.89,0.12,0.19,0.87
sam_without,rover,10,0.3,1.0,4,5,0.89,0.12,0.19,0.87
rosame,rover,10,0.3,1.0,4,0,0.18,0.15,0.22,0.42
sam_with,rover,100,0.4,0.2,0,4,1.0,0.29,0.47,0.98
sam_without,rover,10,0.4,0.2,0,4,1.0,0.29,0.47,0.98
rosame,rover,10,0.4,0.2,0,0,0.59,0.39,0.58,0.9
sam_with,rover,100,0.4,0.2,1,5,1.0,0.21,0.44,0.94
sam_without,rover,10,0.4,0.2,1,5,1.0,0.21,0.44,0.94
rosame,rover,10,0.4,0.2,1,0,0.48,0.31,0.57,0.63
sam_with,rover,100,0.4,0.2,2,5,1.0,0.2,0.44,0.92
sam_without,rover,10,0.4,0.2,2,5,1.0,0.2,0.44,0.92
rosame,rover,10,0.4,0.2,2,0,0.45,0.4,0.51,0.72
sam_with,rover,100,0.4,0.2,3,5,1.0,0.23,0.44,0.96
sam_without,rover,10,0.4,0.2,3,5,1.0,0.23,0.44,0.96
rosame,rover,10,0.4,0.2,3,0,0.45,0.32,0.49,0.73
sam_with,rover,100,0.4,0.2,4,5,1.0,0.2,0.36,0.94
sam_without,rover,10,0.4,0.2,4,5,1.0,0.2,0.36,0.94
rosame,rover,10,0.4,0.2,4,0,0.48,0.31,0.47,0.52
sam_with,rover,100,0.4,0.4,0,4,1.0,0.29,0.47,0.98
sam_without,rover,10,0.4,0.4,0,4,1.0,0.29,0.47,0.98
rosame,rover,10,0.4,0.4,0,0,0.57,0.35,0.52,0.79
sam_with,rover,100,0.4,0.4,1,5,1.0,0.21,0.44,0.94
sam_without,rover,10,0.4,0.4,1,5,1.0,0.21,0.44,0.94
rosame,rover,10,0.4,0.4,1,0,0.45,0.27,0.49,0.72
sam_with,rover,100,0.4,0.4,2,5,1.0,0.2,0.44,0.92
sam_without,rover,10,0.4,0.4,2,5,1.0,0.2,0.44,0.92
rosame,rover,10,0.4,0.4,2,0,0.48,0.26,0.68,0.59
sam_with,rover,100,0.4,0.4,3,5,1.0,0.23,0.44,0.96
sam_without,rover,10,0.4,0.4,3,5,1.0,0.23,0.44,0.96
rosame,rover,10,0.4,0.4,3,0,0.46,0.34,0.57,0.73
sam_with,rover,100,0.4,0.4,4,5,1.0,0.2,0.36,0.94
sam_without,rover,10,0.4,0.4,4,5,1.0,0.2,0.36,0.94
rosame,rover,10,0.4,0.4,4,0,0.47,0.25,0.52,0.5
sam_with,rover,100,0.4,0.6,0,4,1.0,0.22,0.3,0.98
sam_without,rover,10,0.4,0.6,0,4,1.0,0.22,0.36,0.98
rosame,rover,10,0.4,0.6,0,0,0.58,0.34,0.49,0.79
sam_with,rover,100,0.4,0.6,1,5,1.0,0.19,0.33,0.94
sam_without,rover,10,0.4,0.6,1,5,1.0,0.19,0.33,0.94
rosame,rover,10,0.4,0.6,1,0,0.45,0.28,0.43,0.62
sam_with,rover,100,0.4,0.6,2,5,1.0,0.15,0.36,0.92
sam_without,rover,10,0.4,0.6,2,5,1.0,0.15,0.42,0.92
rosame,rover,10,0.4,0.6,2,0,0.43,0.29,0.61,0.69
sam_with,rover,100,0.4,0.6,3,5,1.0,0.18,0.39,0.96
sam_without,rover,10,0.4,0.6,3,5,1.0,0.18,0.39,0.96
rosame,rover,10,0.4,0.6,3,0,0.4,0.37,0.44,0.72
sam_with,rover,100,0.4,0.6,4,5,1.0,0.17,0.36,0.94
sam_without,rover,10,0.4,0.6,4,5,1.0,0.17,0.36,0.94
rosame,rover,10,0.4,0.6,4,0,0.48,0.31,0.51,0.57
sam_with,rover,100,0.4,0.8,0,4,0.72,0.21,0.11,0.89
sam_without,rover,10,0.4,0.8,0,4,0.83,0.21,0.27,0.91
rosame,rover,10,0.4,0.8,0,0,0.47,0.27,0.36,0.59
sam_with,rover,100,0.4,0.8,1,6,0.83,0.14,0.11,0.89
sam_without,rover,10,0.4,0.8,1,6,0.89,0.14,0.28,0.89
rosame,rover,10,0.4,0.8,1,0,0.43,0.27,0.49,0.61
sam_with,rover,100,0.4,0.8,2,5,0.94,0.13,0.19,0.85
sam_without,rover,10,0.4,0.8,2,5,0.94,0.13,0.25,0.85
rosame,rover,10,0.4,0.8,2,0,0.39,0.23,0.19,0.65
sam_with,rover,100,0.4,0.8,3,5,1.0,0.16,0.28,0.91
sam_without,rover,10,0.4,0.8,3,5,1.0,0.16,0.28,0.91
rosame,rover,10,0.4,0.8,3,0,0.31,0.22,0.36,0.54
sam_with,rover,100,0.4,0.8,4,5,1.0,0.15,0.24,0.93
sam_without,rover,10,0.4,0.8,4,5,1.0,0.15,0.24,0.93
rosame,rover,10,0.4,0.8,4,0,0.45,0.22,0.36,0.53
sam_with,rover,100,0.4,1.0,0,4,0.61,0.11,0.08,0.72
sam_without,rover,10,0.4,1.0,0,4,0.72,0.12,0.24,0.74
rosame,rover,10,0.4,1.0,0,0,0.4,0.16,0.3,0.34
sam_with,rover,100,0.4,1.0,1,5,0.61,0.07,0.06,0.69
sam_without,rover,10,0.4,1.0,1,5,0.72,0.08,0.28,0.71
rosame,rover,10,0.4,1.0,1,0,0.24,0.22,0.28,0.38
sam_with,rover,100,0.4,1.0,2,5,0.75,0.06,0.14,0.7
sam_without,rover,10,0.4,1.0,2,5,0.75,0.06,0.14,0.7
rosame,rover,10,0.4,1.0,2,0,0.2,0.17,0.25,0.47
sam_with,rover,100,0.4,1.0,3,5,0.8,0.13,0.19,0.83
sam_without,rover,10,0.4,1.0,3,5,0.8,0.13,0.19,0.83
rosame,rover,10,0.4,1.0,3,0,0.24,0.24,0.3,0.49
sam_with,rover,100,0.4,1.0,4,5,0.78,0.08,0.13,0.77
sam_without,rover,10,0.4,1.0,4,5,0.81,0.08,0.19,0.77
rosame,rover,10,0.4,1.0,4,0,0.31,0.14,0.38,0.31
sam_with,rover,100,0.5,0.2,0,4,1.0,0.29,0.47,0.98
sam_without,rover,10,0.5,0.2,0,4,1.0,0.29,0.47,0.98
rosame,rover,10,0.5,0.2,0,0,0.59,0.37,0.57,0.79
sam_with,rover,100,0.5,0.2,1,5,1.0,0.21,0.44,0.94
sam_without,rover,10,0.5,0.2,1,5,1.0,0.21,0.44,0.94
rosame,rover,10,0.5,0.2,1,0,0.46,0.32,0.52,0.81
sam_with,rover,100,0.5,0.2,2,5,1.0,0.2,0.44,0.92
sam_without,rover,10,0.5,0.2,2,5,1.0,0.2,0.44,0.92
rosame,rover,10,0.5,0.2,2,0,0.44,0.34,0.44,0.76
sam_with,rover,100,0.5,0.2,3,5,1.0,0.23,0.44,0.96
sam_without,rover,10,0.5,0.2,3,5,1.0,0.23,0.44,0.96
rosame,rover,10,0.5,0.2,3,0,0.52,0.36,0.52,0.86
sam_with,rover,100,0.5,0.2,4,5,1.0,0.2,0.36,0.94
sam_without,rover,10,0.5,0.2,4,5,1.0,0.2,0.36,0.94
rosame,rover,10,0.5,0.2,4,0,0.38,0.24,0.47,0.48
sam_with,rover,100,0.5,0.4,0,4,1.0,0.29,0.47,0.98
sam_without,rover,10,0.5,0.4,0,4,1.0,0.29,0.47,0.98
rosame,rover,10,0.5,0.4,0,0,0.56,0.38,0.51,0.9
sam_with,rover,100,0.5,0.4,1,5,1.0,0.21,0.44,0.94
sam_without,rover,10,0.5,0.4,1,5,1.0,0.21,0.44,0.94
rosame,rover,10,0.5,0.4,1,0,0.47,0.43,0.59,0.62
sam_with,rover,100,0.5,0.4,2,5,1.0,0.2,0.44,0.92
sam_without,rover,10,0.5,0.4,2,5,1.0,0.2,0.44,0.92
rosame,rover,10,0.5,0.4,2,0,0.45,0.33,0.49,0.79
sam_with,rover,100,0.5,0.4,3,5,1.0,0.23,0.44,0.96
sam_without,rover,10,0.5,0.4,3,5,1.0,0.23,0.44,0.96
rosame,rover,10,0.5,0.4,3,0,0.48,0.37,0.6,0.9
sam_with,rover,100,0.5,0.4,4,5,1.0,0.2,0.36,0.94
sam_without,rover,10,0.5,0.4,4,5,1.0,0.2,0.36,0.94
rosame,rover,10,0.5,0.4,4,0,0.56,0.25,0.49,0.59
sam_with,rover,100,0.5,0.6,0,4,1.0,0.24,0.47,0.89
sam_without,rover,10,0.5,0.6,0,4,1.0,0.24,0.47,0.89
rosame,rover,10,0.5,0.6,0,0,0.5,0.33,0.54,0.69
sam_with,rover,100,0.5,0.6,1,5,1.0,0.19,0.44,0.86
sam_without,rover,10,0.5,0.6,1,5,1.0,0.19,0.44,0.86
rosame,rover,10,0.5,0.6,1,0,0.47,0.29,0.54,0.63
sam_with,rover,100,0.5,0.6,2,5,0.97,0.17,0.42,0.88
sam_without,rover,10,0.5,0.6,2,5,0.97,0.17,0.42,0.88
rosame,rover,10,0.5,0.6,2,0,0.44,0.27,0.52,0.62
sam_with,rover,100,0.5,0.6,3,5,1.0,0.24,0.44,0.93
sam_without,rover,10,0.5,0.6,3,5,1.0,0.24,0.44,0.93
rosame,rover,10,0.5,0.6,3,0,0.45,0.33,0.49,0.69
sam_with,rover,100,0.5,0.6,4,5,1.0,0.22,0.36,0.93
sam_without,rover,10,0.5,0.6,4,5,1.0,0.22,0.36,0.93
rosame,rover,10,0.5,0.6,4,0,0.53,0.37,0.49,0.71
sam_with,rover,100,0.5,0.8,0,4,0.78,0.15,0.19,0.72
sam_without,rover,10,0.5,0.8,0,4,0.8,0.16,0.36,0.74
rosame,rover,10,0.5,0.8,0,0,0.47,0.25,0.39,0.48
sam_with,rover,100,0.5,0.8,1,5,0.78,0.12,0.17,0.71
sam_without,rover,10,0.5,0.8,1,5,0.78,0.11,0.33,0.71
rosame,rover,10,0.5,0.8,1,0,0.46,0.26,0.39,0.69
sam_with,rover,100,0.5,0.8,2,5,0.86,0.13,0.31,0.76
sam_without,rover,10,0.5,0.8,2,5,0.92,0.14,0.42,0.79
rosame,rover,10,0.5,0.8,2,0,0.39,0.23,0.25,0.65
sam_with,rover,100,0.5,0.8,3,5,0.94,0.19,0.39,0.86
sam_without,rover,10,0.5,0.8,3,5,0.94,0.19,0.39,0.86
rosame,rover,10,0.5,0.8,3,0,0.35,0.28,0.36,0.47
sam_with,rover,100,0.5,0.8,4,5,1.0,0.19,0.36,0.85
sam_without,rover,10,0.5,0.8,4,5,0.94,0.19,0.36,0.85
rosame,rover,10,0.5,0.8,4,0,0.38,0.22,0.41,0.52
sam_with,rover,100,0.5,1.0,0,4,0.64,0.17,0.11,0.68
sam_without,rover,10,0.5,1.0,0,4,0.73,0.18,0.27,0.7
rosame,rover,10,0.5,1.0,0,0,0.35,0.15,0.34,0.34
sam_with,rover,100,0.5,1.0,1,5,0.61,0.18,0.06,0.65
sam_without,rover,10,0.5,1.0,1,5,0.72,0.14,0.28,0.67
rosame,rover,10,0.5,1.0,1,0,0.25,0.18,0.34,0.43
sam_with,rover,100,0.5,1.0,2,5,0.69,0.08,0.14,0.7
sam_without,rover,10,0.5,1.0,2,5,0.75,0.08,0.25,0.73
rosame,rover,10,0.5,1.0,2,0,0.22,0.12,0.31,0.29
sam_with,rover,100,0.5,1.0,3,5,0.83,0.14,0.28,0.79
sam_without,rover,10,0.5,1.0,3,5,0.83,0.14,0.28,0.79
rosame,rover,10,0.5,1.0,3,0,0.21,0.17,0.25,0.36
sam_with,rover,100,0.5,1.0,4,5,0.78,0.1,0.13,0.77
sam_without,rover,10,0.5,1.0,4,5,0.85,0.11,0.24,0.8
rosame,rover,10,0.5,1.0,4,0,0.19,0.23,0.19,0.71
sam_with,rover,500,0.1,0.2,0,2,1.0,0.32,0.47,0.9
sam_without,rover,50,0.1,0.2,0,2,1.0,0.32,0.52,0.9
rosame,rover,50,0.1,0.2,0,0,0.78,0.46,0.69,0.79
sam_with,rover,500,0.1,0.2,1,5,1.0,0.19,0.3,1.0
sam_without,rover,50,0.1,0.2,1,5,1.0,0.19,0.3,1.0
rosame,rover,50,0.1,0.2,1,0,0.47,0.35,0.4,0.76
sam_with,rover,500,0.1,0.2,2,5,1.0,0.2,0.36,1.0
sam_without,rover,50,0.1,0.2,2,5,1.0,0.2,0.36,1.0
rosame,rover,50,0.1,0.2,2,0,0.39,0.42,0.41,0.82
sam_with,rover,500,0.1,0.2,3,6,1.0,0.12,0.22,1.0
sam_without,rover,50,0.1,0.2,3,6,1.0,0.12,0.28,1.0
rosame,rover,50,0.1,0.2,3,0,0.56,0.42,0.6,0.81
sam_with,rover,500,0.1,0.2,4,4,1.0,0.25,0.36,0.98
sam_without,rover,50,0.1,0.2,4,4,1.0,0.25,0.41,0.98
rosame,rover,50,0.1,0.2,4,0,0.59,0.4,0.58,0.81
sam_with,rover,500,0.1,0.4,0,2,1.0,0.24,0.44,0.9
sam_without,rover,50,0.1,0.4,0,2,1.0,0.24,0.49,0.9
rosame,rover,50,0.1,0.4,0,0,0.76,0.45,0.76,0.77
sam_with,rover,500,0.1,0.4,1,5,1.0,0.13,0.24,1.0
sam_without,rover,50,0.1,0.4,1,5,1.0,0.13,0.3,1.0
rosame,rover,50,0.1,0.4,1,0,0.37,0.33,0.43,0.76
sam_with,rover,500,0.1,0.4,2,6,1.0,0.11,0.33,1.0
sam_without,rover,50,0.1,0.4,2,6,1.0,0.11,0.33,1.0
rosame,rover,50,0.1,0.4,2,0,0.34,0.39,0.4,0.75
sam_with,rover,500,0.1,0.4,3,6,1.0,0.1,0.22,1.0
sam_without,rover,50,0.1,0.4,3,6,1.0,0.1,0.28,1.0
rosame,rover,50,0.1,0.4,3,0,0.58,0.4,0.6,0.9
sam_with,rover,500,0.1,0.4,4,5,1.0,0.14,0.31,0.98
sam_without,rover,50,0.1,0.4,4,5,1.0,0.14,0.36,0.98
rosame,rover,50,0.1,0.4,4,0,0.57,0.39,0.52,0.84
sam_with,rover,500,0.1,0.6,0,3,1.0,0.22,0.38,0.9
sam_without,rover,50,0.1,0.6,0,3,1.0,0.22,0.38,0.9
rosame,rover,50,0.1,0.6,0,0,0.79,0.47,0.76,0.7
sam_with,rover,500,0.1,0.6,1,6,1.0,0.11,0.19,1.0
sam_without,rover,50,0.1,0.6,1,6,1.0,0.11,0.19,1.0
rosame,rover,50,0.1,0.6,1,0,0.37,0.37,0.43,0.71
sam_with,rover,500,0.1,0.6,2,7,1.0,0.08,0.22,1.0
sam_without,rover,50,0.1,0.6,2,7,1.0,0.08,0.22,1.0
rosame,rover,50,0.1,0.6,2,0,0.35,0.3,0.43,0.64
sam_with,rover,500,0.1,0.6,3,7,1.0,0.08,0.17,1.0
